country,academic_year,academic_level,enrollment
Japan,2024/25,enrollment_undergrad,6327
Mexico,2000/01,enrollment_grad,3853
Mexico,2000/01,enrollment_other,742
Mexico,2000/01,enrollment_undergrad,6075
Mexico,2001/02,enrollment_grad,4389
Mexico,2001/02,enrollment_other,784
Mexico,2001/02,enrollment_undergrad,7345
Mexico,2002/03,enrollment_grad,4328
Mexico,2002/03,enrollment_other,737
Mexico,2002/03,enrollment_undergrad,7737
Mexico,2003/04,enrollment_grad,4225
Mexico,2003/04,enrollment_other,801
Mexico,2003/04,enrollment_undergrad,8303
Mexico,2004/05,enrollment_grad,3961
Mexico,2004/05,enrollment_other,902
Mexico,2004/05,enrollment_undergrad,8200
