country,panel_year,prior_3yr_avg_growth,any_shock_active,num_shocks_active,cpi_annual_avg,target_next_yr_growth
Iraq,2023,-0.16075683977730293,1,1,304.7015833333333,0.18372113714837734
Israel,2000,0.0494076387182254,0,0,172.20000000000002,0.0163268932874292
Israel,2001,0.0328672660028273,0,0,177.0666666666667,0.018054652911816405
Israel,2002,0.02792972830582367,1,1,179.875,-0.013438372354000805
Israel,2003,0.006981057948414933,1,1,183.95833333333337,-0.04443867844645588
Israel,2004,-0.013274132629546761,0,0,188.88333333333333,0.028480121284706783
Israel,2005,-0.009798976505249968,0,0,195.29166666666663,-0.04486398291509097
Israel,2006,-0.020274180025613358,0,0,201.59166666666667,-0.08453939384018483
Israel,2007,-0.03364108515685634,0,0,207.34241666666665,0.018470182062399587
Israel,2008,-0.03697773156429207,0,0,215.3025,-0.0966836716321362
Israel,2009,-0.054250961136640484,0,0,214.537,-0.02810916952167375
Israel,2010,-0.03544088636380346,0,0,218.0555,-0.08133936433386246
Israel,2011,-0.06871073516255748,0,0,224.9391666666667,-0.024391453124159135
Israel,2012,-0.04461332899323178,0,0,229.59391666666667,0.011049836186584727
Israel,2013,-0.03156032709047896,0,0,232.95708333333337,-0.03605113839200236
Israel,2014,-0.01646425177652559,0,0,236.73616666666663,-0.011457795621381273
Israel,2015,-0.012153032608932968,0,0,237.017,0.021115649400577752
Israel,2016,-0.008797761537601959,0,0,240.00716666666665,-0.027967924606080885
Israel,2017,-0.006103356942294802,0,0,245.11958333333337,0.027549951768230052
Israel,2018,0.006899225520908973,0,0,251.10683333333336,-0.07192358323503178
Israel,2019,-0.024113852024294207,1,1,255.65741666666668,-0.188269127718951
Israel,2020,-0.0775475863952509,1,4,258.8111666666667,0.09461974233546044
Israel,2021,-0.05519098953950744,1,3,270.96975000000003,-0.003954528139161972
Israel,2022,-0.03253463784088417,0,0,292.6549166666667,0.0707413832235213
Israel,2023,0.05380219913993992,1,2,304.7015833333333,0.044672440051592766
Japan,2000,-0.00803268785946365,0,0,172.20000000000002,0.0067090609289550684
Japan,2001,-0.0006618134652542906,0,0,177.0666666666667,-0.0183254023314241
Japan,2002,-0.006549676420644228,1,1,179.875,-0.1182318961703146
Japan,2003,-0.04328274585759454,1,1,183.95833333333337,0.0332360513112242
